Branch,BC Code,Loan Account Number,Customer Name,Father/Husband Name,Mobile,Aadhaar,Village,Address,Loan Type,Outstanding Amount,Overdue Amount,NPA Date,Remarks
BR001,BC-004,LN00100015,Suresh Meena,Father of Suresh Meena,9876510015,123410000015,Gulabpura,"House 15, Gulabpura",Crop Loan,72625.00,5810.00,16/04/2024,
BR002,BC-001,LN00100016,Manju Devi,Father of Manju Devi,9876510016,123410000016,Hurda,"House 16, Hurda",Dairy Loan,75800.00,9096.00,,
BR003,BC-002,LN00100017,Vijay Singh,Father of Vijay Singh,9876510017,123410000017,Banera,"House 17, Banera",KCC,78975.00,12636.00,,
BR001,BC-003,LN00100018,Geeta Kumari,Father of Geeta Kumari,9876510018,123410000018,Kotri,"House 18, Kotri",SHG Loan,82150.00,16430.00,19/07/2024,
BR002,BC-004,LN00100019,Arjun Lal,Father of Arjun Lal,9876510019,123410000019,Mandal,"House 19, Mandal",Tractor Loan,85325.00,20478.00,,
BR003,BC-001,LN00100020,Shanti Bai,Father of Shanti Bai,9876510020,123410000020,Sahada,"House 20, Sahada",Crop Loan,88500.00,7080.00,,
BR001,BC-002,LN00100021,Hariram Jat,Father of Hariram Jat,9876510021,123410000021,Gulabpura,"House 21, Gulabpura",Dairy Loan,91675.00,11001.00,22/10/2024,Chronic defaulter
BR002,BC-003,LN00100022,Bhagwati Devi,Father of Bhagwati Devi,9876510022,123410000022,Hurda,"House 22, Hurda",KCC,94850.00,15176.00,,
BR003,BC-004,LN00100023,Om Prakash,Father of Om Prakash,9876510023,123410000023,Banera,"House 23, Banera",SHG Loan,98025.00,19605.00,,
BR001,BC-001,LN00100024,Rekha Sharma,Father of Rekha Sharma,9876510024,123410000024,Kotri,"House 24, Kotri",Tractor Loan,101200.00,24288.00,25/01/2024,
BR002,BC-002,LN00100025,Kailash Chand,Father of Kailash Chand,9876510025,123410000025,Mandal,"House 25, Mandal",Crop Loan,104375.00,8350.00,,
BR003,BC-003,LN00100026,Ramesh Kumar,Father of Ramesh Kumar,9876510026,123410000026,Sahada,"House 26, Sahada",Dairy Loan,107550.00,12906.00,,
BR001,BC-004,LN00100027,Sita Devi,Father of Sita Devi,9876510027,123410000027,Gulabpura,"House 27, Gulabpura",KCC,110725.00,17716.00,28/04/2024,
BR002,BC-001,LN00100028,Gopal Singh,Father of Gopal Singh,9876510028,123410000028,Hurda,"House 28, Hurda",SHG Loan,113900.00,22780.00,,Chronic defaulter
BR003,BC-002,LN00100029,Anita Sharma,Father of Anita Sharma,9876510029,123410000029,Banera,"House 29, Banera",Tractor Loan,117075.00,28098.00,,
BR001,BC-003,LN00100030,Mahesh Jat,Father of Mahesh Jat,9876510030,123410000030,Kotri,"House 30, Kotri",Crop Loan,120250.00,9620.00,03/07/2024,
BR002,BC-004,LN00100031,Kamla Bai,Father of Kamla Bai,9876510031,123410000031,Mandal,"House 31, Mandal",Dairy Loan,123425.00,14811.00,,
BR003,BC-001,LN00100032,Prakash Meena,Father of Prakash Meena,9876510032,123410000032,Sahada,"House 32, Sahada",KCC,126600.00,20256.00,,
BR001,BC-002,LN00100033,Sunita Kumari,Father of Sunita Kumari,9876510033,123410000033,Gulabpura,"House 33, Gulabpura",SHG Loan,129775.00,25955.00,06/10/2024,
BR002,BC-003,LN00100034,Rajesh Gurjar,Father of Rajesh Gurjar,9876510034,123410000034,Hurda,"House 34, Hurda",Tractor Loan,132950.00,31908.00,,
BR003,BC-004,LN00100035,Leela Devi,Father of Leela Devi,9876510035,123410000035,Banera,"House 35, Banera",Crop Loan,136125.00,10890.00,,Chronic defaulter
BR001,BC-001,LN00100036,Naresh Chand,Father of Naresh Chand,9876510036,123410000036,Kotri,"House 36, Kotri",Dairy Loan,139300.00,16716.00,09/01/2024,
BR002,BC-002,LN00100037,Pushpa Devi,Father of Pushpa Devi,9876510037,123410000037,Mandal,"House 37, Mandal",KCC,142475.00,22796.00,,
BR003,BC-003,LN00100038,Dinesh Sharma,Father of Dinesh Sharma,9876510038,123410000038,Sahada,"House 38, Sahada",SHG Loan,145650.00,29130.00,,
BR001,BC-004,LN00100039,Radha Bai,Father of Radha Bai,9876510039,123410000039,Gulabpura,"House 39, Gulabpura",Tractor Loan,148825.00,35718.00,12/04/2024,
BR002,BC-001,LN00100040,Suresh Meena,Father of Suresh Meena,9876510040,123410000040,Hurda,"House 40, Hurda",Crop Loan,152000.00,12160.00,,
BR003,BC-002,LN00100041,Manju Devi,Father of Manju Devi,9876510041,123410000041,Banera,"House 41, Banera",Dairy Loan,155175.00,18621.00,,
BR001,BC-003,LN00100042,Vijay Singh,Father of Vijay Singh,9876510042,123410000042,Kotri,"House 42, Kotri",KCC,158350.00,25336.00,15/07/2024,Chronic defaulter
BR002,BC-004,LN00100043,Geeta Kumari,Father of Geeta Kumari,9876510043,123410000043,Mandal,"House 43, Mandal",SHG Loan,161525.00,32305.00,,
BR003,BC-001,LN00100044,Arjun Lal,Father of Arjun Lal,9876510044,123410000044,Sahada,"House 44, Sahada",Tractor Loan,164700.00,39528.00,,
BR001,BC-002,LN00100045,Shanti Bai,Father of Shanti Bai,9876510045,123410000045,Gulabpura,"House 45, Gulabpura",Crop Loan,167875.00,13430.00,18/10/2024,
BR002,BC-003,LN00100046,Hariram Jat,Father of Hariram Jat,9876510046,123410000046,Hurda,"House 46, Hurda",Dairy Loan,171050.00,20526.00,,
BR003,BC-004,LN00100047,Bhagwati Devi,Father of Bhagwati Devi,9876510047,123410000047,Banera,"House 47, Banera",KCC,174225.00,27876.00,,
BR001,BC-001,LN00100048,Om Prakash,Father of Om Prakash,9876510048,123410000048,Kotri,"House 48, Kotri",SHG Loan,177400.00,35480.00,21/01/2024,
BR002,BC-002,LN00100049,Rekha Sharma,Father of Rekha Sharma,9876510049,123410000049,Mandal,"House 49, Mandal",Tractor Loan,180575.00,43338.00,,Chronic defaulter
BR003,BC-003,LN00100050,Kailash Chand,Father of Kailash Chand,9876510050,123410000050,Sahada,"House 50, Sahada",Crop Loan,183750.00,14700.00,,
BR001,BC-004,LN00100051,Ramesh Kumar,Father of Ramesh Kumar,9876510051,123410000051,Gulabpura,"House 51, Gulabpura",Dairy Loan,186925.00,22431.00,24/04/2024,
BR002,BC-001,LN00100052,Sita Devi,Father of Sita Devi,9876510052,123410000052,Hurda,"House 52, Hurda",KCC,190100.00,30416.00,,
BR003,BC-002,LN00100053,Gopal Singh,Father of Gopal Singh,9876510053,123410000053,Banera,"House 53, Banera",SHG Loan,193275.00,38655.00,,
BR001,BC-003,LN00100054,Anita Sharma,Father of Anita Sharma,9876510054,123410000054,Kotri,"House 54, Kotri",Tractor Loan,196450.00,47148.00,27/07/2024,
BR002,BC-004,LN00100055,Mahesh Jat,Father of Mahesh Jat,9876510055,123410000055,Mandal,"House 55, Mandal",Crop Loan,199625.00,15970.00,,
BR003,BC-001,LN00100056,Kamla Bai,Father of Kamla Bai,9876510056,123410000056,Sahada,"House 56, Sahada",Dairy Loan,202800.00,24336.00,,Chronic defaulter
BR001,BC-002,LN00100057,Prakash Meena,Father of Prakash Meena,9876510057,123410000057,Gulabpura,"House 57, Gulabpura",KCC,205975.00,32956.00,02/10/2024,
BR002,BC-003,LN00100058,Sunita Kumari,Father of Sunita Kumari,9876510058,123410000058,Hurda,"House 58, Hurda",SHG Loan,209150.00,41830.00,,
BR003,BC-004,LN00100059,Rajesh Gurjar,Father of Rajesh Gurjar,9876510059,123410000059,Banera,"House 59, Banera",Tractor Loan,212325.00,50958.00,,
BR001,BC-001,LN00100060,Leela Devi,Father of Leela Devi,9876510060,123410000060,Kotri,"House 60, Kotri",Crop Loan,215500.00,17240.00,05/01/2024,
